 ******* Program HYDRUS
 ******* 
 Replicate Fairfield dual perm model using runhydrus, add artificial KBr 
 Date:  31. 3.2026    Time:  18: 9:31
 Units: L = cm   , T = days , M = mmol 


 Time:     0.000000

 Node    Depth    Head   Moisture   HeadF  MoistureF      Flux       FluxF      Sink       Transf       TranS       Temp          ConcF       Conc(1...NS)
          [L]      [L]     [-]       [L]       [-]       [L/T]       [L/T]       [-]        [1/T]     [M/L3/T]        [C]         [M/L3]      [M/L3]
  57   -98.00    -150.00 0.2708     -150.00 0.002707  -0.213E-01  -0.741E-04 0.00000     0.000E+00   0.000E+00      20.000     0.000E+00   0.000E+00   0.000E+00   0.000E+00
  58   -99.75    -150.00 0.2708     -150.00 0.002707  -0.213E-01  -0.741E-04 0.00000     0.000E+00   0.000E+00      20.000     0.000E+00   0.000E+00   0.000E+00   0.000E+00
  59  -101.50    -150.00 0.2708     -150.00 0.002707  -0.213E-01  -0.741E-04 0.00000     0.000E+00   0.000E+00      20.000     0.000E+00   0.000E+00   0.000E+00   0.000E+00
  60  -103.25    -150.00 0.2708     -150.00 0.002707  -0.213E-01  -0.741E-04 0.00000     0.000E+00   0.000E+00      20.000     0.000E+00   0.000E+00   0.000E+00   0.000E+00
  61  -105.00    -150.00 0.2708     -150.00 0.002707  -0.213E-01  -0.741E-04 0.00000     0.000E+00   0.000E+00      20.000     0.000E+00   0.000E+00   0.000E+00   0.000E+00
  62  -106.75    -150.00 0.2708     -150.00 0.002707  -0.213E-01  -0.741E-04 0.00000     0.000E+00   0.000E+00      20.000     0.000E+00   0.000E+00   0.000E+00   0.000E+00
  63  -108.50    -150.00 0.2708     -150.00 0.002707  -0.213E-01  -0.741E-04 0.00000     0.000E+00   0.000E+00      20.000     0.000E+00   0.000E+00   0.000E+00   0.000E+00
  64  -110.25    -150.00 0.2708     -150.00 0.002707  -0.213E-01  -0.741E-04 0.00000     0.000E+00   0.000E+00      20.000     0.000E+00   0.000E+00   0.000E+00   0.000E+00
  65  -112.00    -150.00 0.2708     -150.00 0.002707  -0.213E-01  -0.741E-04 0.00000     0.000E+00   0.000E+00      20.000     0.000E+00   0.000E+00   0.000E+00   0.000E+00
  66  -113.75    -150.00 0.2708     -150.00 0.002707  -0.213E-01  -0.741E-04 0.00000     0.000E+00   0.000E+00      20.000     0.000E+00   0.000E+00   0.000E+00   0.000E+00
  67  -115.50    -150.00 0.2708     -150.00 0.002707  -0.213E-01  -0.741E-04 0.00000     0.000E+00   0.000E+00      20.000     0.000E+00   0.000E+00   0.000E+00   0.000E+00
  68  -117.25    -150.00 0.2708     -150.00 0.002707  -0.213E-01  -0.741E-04 0.00000     0.000E+00   0.000E+00      20.000     0.000E+00   0.000E+00   0.000E+00   0.000E+00
  69  -119.00    -150.00 0.2708     -150.00 0.002707  -0.213E-01  -0.741E-04 0.00000     0.000E+00   0.000E+00      20.000     0.000E+00   0.000E+00   0.000E+00   0.000E+00
